PPG,HR,RR,HRV,SpO2
19290.1442,0,0,0,0
19289.4201,0,0,0,0
19288.814,0,0,0,0
19288.3376,0,0,0,0
19287.9961,0,0,0,0
19287.7888,0,0,0,0
19287.7083,0,0,0,0
19287.7415,0,0,0,0
19287.8697,0,0,0,0
19288.0693,0,0,0,0
19288.3129,0,0,0,0
19288.5699,0,0,0,0
19288.8077,0,0,0,0
19288.9933,0,0,0,0
19289.0936,0,0,0,0
19289.0776,0,0,0,0
19288.9165,0,0,0,0
19288.5857,0,0,0,0
19288.0652,0,0,0,0
19287.3403,0,0,0,0
19286.4027,0,0,0,0
19285.2504,0,0,0,0
19283.8881,0,0,0,0
19282.3272,0,0,0,0
19280.5856,0,0,0,0
19278.6871,0,0,0,0
19276.6608,0,0,0,0
19274.5404,0,0,0,0
19272.3629,0,0,0,0
19270.1678,0,0,0,0
19267.9959,0,0,0,0
19265.8879,0,0,0,0
19263.8835,0,0,0,0
19262.0198,0,0,0,0
19260.3305,0,0,0,0
19258.8448,0,0,0,0
19257.5866,0,0,0,0
19256.5737,0,0,0,0
19255.8177,0,0,0,0
19255.3232,0,0,0,0
19254.1485,0,0,0,0
19254.1766,0,0,0,0
19254.392,0,0,0,0
19254.7672,0,0,0,0
19255.2721,0,0,0,0
19255.8758,0,0,0,0
19256.5473,0,0,0,0
19257.2569,0,0,0,0
19257.9776,0,0,0,0
19258.6856,0,0,0,0
19259.3615,0,0,0,0
19259.9909,0,0,0,0
19260.5652,0,0,0,0
19261.0811,0,0,0,0
19261.5417,0,0,0,0
19261.9553,0,0,0,0
19262.3359,0,0,0,0
19262.7018,0,0,0,0
19263.0755,0,0,0,0
19263.4819,0,0,0,0
19263.948,0,0,0,0
19264.5014,0,0,0,0
19265.1688,0,0,0,0
19265.9751,0,0,0,0
19266.9422,0,0,0,0
19268.0874,0,0,0,0
19269.4232,0,0,0,0
19270.9558,0,0,0,0
19272.6848,0,0,0,0
19274.6026,0,0,0,0
19276.6946,0,0,0,0
19278.9388,0,0,0,0
19281.3064,0,0,0,0
19283.7625,0,0,0,0
19286.2666,0,0,0,0
19288.7738,0,0,0,0
19291.2362,0,0,0,0
19293.6038,0,0,0,0
19295.8262,0,0,0,0
19297.8542,0,0,0,0
19299.641,0,0,0,0
19301.144,0,0,0,0
19302.3258,0,0,0,0
19303.1557,0,0,0,0
19303.6108,0,0,0,0
19303.6765,0,0,0,0
19303.3474,0,0,0,0
19302.6277,0,0,0,0
19301.5308,0,0,0,0
19300.0798,0,0,0,0
19298.3063,0,0,0,0
19296.2499,0,0,0,0
19293.9573,0,0,0,0
19291.4812,0,0,0,0
19288.8782,0,0,0,0
19286.2082,0,0,0,0
19283.532,0,0,0,0
19280.9101,0,0,0,0
19278.4008,0,0,0,0
19276.0586,0,0,0,0
19273.933,0,0,0,0
19272.0667,0,0,0,0
19270.4946,0,0,0,0
19269.2432,0,0,0,0
19268.3295,0,0,0,0
19267.761,0,0,0,0
19267.535,0,0,0,0
19267.6396,0,0,0,0
19268.0534,0,0,0,0
19268.7468,0,0,0,0
19269.6826,0,0,0,0
19270.8174,0,0,0,0
19272.1027,0,0,0,0
19273.4868,0,0,0,0
19274.9158,0,0,0,0
19276.3359,0,0,0,0
19277.6941,0,0,0,0
19278.9408,0,0,0,0
19280.0303,0,0,0,0
19280.9226,0,0,0,0
19281.5842,0,0,0,0
19281.9891,0,0,0,0
19282.1197,0,0,0,0
19281.9666,0,0,0,0
19281.5292,0,0,0,0
19280.8154,0,0,0,0
19279.8412,0,0,0,0
19278.6301,0,0,0,0
19277.2122,0,0,0,0
19275.6233,0,0,0,0
19273.9035,0,0,0,0
19272.0962,0,0,0,0
19270.2468,0,0,0,0
19268.4009,0,0,0,0
19266.6033,0,0,0,0
19264.8969,0,0,0,0
19263.321,0,0,0,0
19261.9108,0,0,0,0
19260.6962,0,0,0,0
19259.7011,0,0,0,0
19258.9432,0,0,0,0
19258.4333,0,0,0,0
19258.1758,0,0,0,0
19260.627,0,0,0,0
19260.7029,0,0,0,0
19260.8748,0,0,0,0
19261.1329,0,0,0,0
19261.4683,0,0,0,0
19261.8732,0,0,0,0
19262.3416,0,0,0,0
19262.8688,0,0,0,0
19263.4519,0,0,0,0
19264.0897,0,0,0,0
19264.7824,0,0,0,0
19265.5315,0,0,0,0
19266.3395,0,0,0,0
19267.2094,0,0,0,0
19268.1443,0,0,0,0
19269.1472,0,0,0,0
19270.2201,0,0,0,0
19271.3639,0,0,0,0
19272.5777,0,0,0,0
19273.8586,0,0,0,0
19275.2014,0,0,0,0
19276.5985,0,0,0,0
19278.0395,0,0,0,0
19279.5113,0,0,0,0
19280.9987,0,0,0,0
19282.4837,0,0,0,0
19283.9469,0,0,0,0
19285.3671,0,0,0,0
19286.7223,0,0,0,0
19287.9904,0,0,0,0
19289.1493,0,0,0,0
